,SPY,XLF,XLK,XLU,XLI,XLV,XLY,XLP,XLB,XOP,XHB,XME,XRT,ETH,LTC
2010-01-04,113.32,14.69,23.24,31.1,23.57,31.6,30.0,26.45,33.98,43.14,15.33,54.15,17.94,13.7,27.54
2010-01-05,113.63,14.94,23.24,30.74,23.65,31.41,30.12,26.69,34.14,43.57,15.43,55.05,18.055,13.47,27.12
2010-01-06,113.74,14.99,22.99,30.9,23.7,31.57,30.13,26.65,34.64,43.93,15.53,57.18,18.25,13.26,27.47
2010-01-07,114.2,15.31,22.89,30.75,23.96,31.7,30.39,26.74,34.49,43.73,16.18,56.83,18.315,13.9,27.99
2010-01-08,114.57,15.22,23.04,30.71,24.34,31.78,30.38,26.6,34.87,44.06,16.25,58.76,18.295,14.25,27.67
2010-01-11,114.73,15.23,22.96,31.06,24.61,31.92,30.34,26.57,34.78,43.57,16.16,57.98,18.235,14.36,26.98
2010-01-12,113.66,15.0,22.7,30.92,24.41,31.73,29.96,26.54,34.11,42.57,15.91,56.53,18.095,14.65,27.0
2010-01-13,114.64,15.17,22.9,31.21,24.51,32.16,30.26,26.8,34.46,42.98,16.03,57.15,18.285,15.09,27.44
2010-01-14,114.92,15.26,22.98,31.12,24.51,32.43,30.27,26.94,34.1,43.41,15.95,56.61,18.09,15.05,27.39
2010-01-15,113.66,14.94,22.68,30.91,24.19,32.25,30.01,26.94,33.76,43.0,15.64,55.36,17.925,14.7,27.63
2010-01-19,115.06,15.12,23.03,31.26,24.46,32.94,30.35,26.84,34.29,43.29,15.8599,56.4519,18.105,14.87,27.73
2010-01-20,113.89,15.1,22.68,30.94,24.08,32.74,29.97,26.88,33.78,42.89,15.55,54.93,17.915,14.46,27.38
2010-01-21,111.68,14.67,22.47,30.49,23.53,32.01,29.6,26.71,32.3,42.29,15.26,51.47,17.61,14.83,26.65
2010-01-22,109.22,14.19,21.67,29.85,23.17,31.64,29.05,26.25,31.58,41.34,14.94,49.9,17.37,15.11,26.14
2010-01-25,109.75,14.25,21.84,30.01,23.32,31.65,29.15,26.48,31.84,41.73,15.1,50.4,17.455,15.01,25.55
2010-01-26,109.3,14.02,21.81,30.13,23.22,31.49,29.18,26.21,31.47,41.16,15.11,49.5,17.485,14.97,24.82
2010-01-27,109.83,14.34,21.93,29.97,23.28,31.7,29.3,26.28,31.23,40.83,15.15,49.02,17.54,14.9,25.71
2010-01-28,108.56,14.29,21.35,29.7,23.02,31.47,29.09,26.51,30.65,40.44,15.17,48.2,17.355,14.7,25.36
2010-01-29,107.42,14.19,20.95,29.51,22.78,31.3,28.92,26.42,30.18,39.59,15.09,46.13,17.32,14.48,25.4
2010-02-01,109.0,14.41,21.24,29.71,23.13,31.44,29.26,26.36,31.31,41.15,15.22,48.91,17.585,14.27,25.85
2010-02-02,110.4,14.56,21.41,29.96,23.57,32.05,29.66,26.45,31.43,42.05,15.91,49.54,17.96,15.02,26.15
2010-02-03,109.86,14.39,21.46,29.76,23.43,31.7,29.71,26.66,31.1,41.36,15.71,48.87,17.84,14.86,25.59
2010-02-04,106.47,13.78,20.87,28.99,22.73,30.88,28.86,26.51,29.9,39.5,15.17,45.44,17.34,14.45,25.02
2010-02-05,106.75,13.96,21.07,28.89,22.63,30.82,28.73,26.0,30.44,39.46,15.05,46.88,17.38,14.49,25.51
2010-02-08,105.89,13.64,20.97,28.58,22.39,30.7,28.62,26.05,29.97,39.29,15.2,45.62,17.255,14.1,25.12
2010-02-09,107.24,13.8,21.17,28.85,22.82,30.89,29.05,26.19,30.72,40.06,15.44,47.51,17.595,14.54,24.98
2010-02-10,107.0,13.92,21.1,28.76,22.78,30.73,28.88,26.26,30.53,39.94,15.37,47.04,17.535,14.8,25.2
2010-02-11,108.09,13.94,21.33,28.92,23.13,30.94,29.22,26.22,31.03,40.65,15.79,49.05,17.735,14.85,25.98
2010-02-12,108.02,13.95,21.34,28.78,22.94,30.91,29.24,26.24,31.03,40.82,15.89,49.28,17.72,15.14,25.79
2010-02-16,109.73,14.24,21.66,29.29,23.48,31.13,29.7,26.5,31.75,41.97,16.18,51.14,17.96,16.0,25.66
2010-02-17,110.26,14.29,21.74,29.22,23.68,31.4,29.95,26.79,31.77,41.85,16.06,50.93,18.2,16.12,25.97
2010-02-18,110.96,14.37,21.88,29.38,23.9,31.51,30.12,26.89,32.13,42.06,16.01,51.55,18.31,15.86,26.44
2010-02-19,111.19,14.45,21.84,29.79,24.02,31.49,30.22,27.05,32.29,42.29,16.08,52.19,18.425,15.64,26.42
2010-02-22,111.13,14.63,21.79,29.6,24.03,31.49,30.19,27.2,32.16,41.43,16.11,52.26,18.395,15.71,26.25
2010-02-23,109.79,14.37,21.52,29.39,23.73,31.14,30.03,27.03,31.62,40.34,15.73,50.13,18.215,15.35,26.01
2010-02-24,110.82,14.62,21.72,29.41,23.97,31.38,30.43,26.98,31.58,40.81,15.74,50.09,18.495,15.64,26.4
2010-02-25,110.71,14.59,21.66,29.36,23.91,31.38,30.45,26.9,31.49,40.89,15.74,50.99,18.645,15.78,26.23
2010-02-26,110.75,14.68,21.68,29.13,24.0,31.41,30.51,27.2,31.5,41.08,15.84,51.33,18.645,15.95,26.06
2010-03-01,111.895,14.72,21.97,29.53,24.32,31.7,31.0,27.13,31.99,41.62,16.2,52.65,19.02,16.01,26.5
2010-03-02,112.17,14.77,21.928,29.66,24.36,31.83,30.9,27.23,32.29,42.0,16.12,53.97,19.01,16.05,26.51
2010-03-03,112.28,14.79,21.93,29.63,24.39,31.67,30.92,27.36,32.64,42.3,16.28,54.32,19.035,20.12,26.27
2010-03-04,112.65,14.92,22.03,29.65,24.51,31.6,31.22,27.42,32.74,41.98,16.26,54.43,19.41,19.471,26.42
2010-03-05,114.26,15.22,22.3,29.96,24.88,32.01,31.72,27.56,33.18,42.83,16.59,56.33,19.705,20.05,26.99
