,ETH,ETH,ETH,ETH,ETH,LTC,LTC,LTC,LTC,LTC,SPY,SPY,SPY,SPY,SPY,XHB,XHB,XHB,XHB,XHB,XLB,XLB,XLB,XLB,XLB,XLF,XLF,XLF,XLF,XLF,XLI,XLI,XLI,XLI,XLI,XLK,XLK,XLK,XLK,XLK,XLP,XLP,XLP,XLP,XLP,XLU,XLU,XLU,XLU,XLU,XLV,XLV,XLV,XLV,XLV,XLY,XLY,XLY,XLY,XLY,XME,XME,XME,XME,XME,XOP,XOP,XOP,XOP,XOP,XRT,XRT,XRT,XRT,XRT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2010-01-04 00:00:00-05:00,13.58,14.25,13.56,13.7,199530,26.99,27.55,26.9,27.54,119474,112.37,113.39,112.33,113.32,94012745,15.2,15.35,15.12,15.33,3228524,33.58,33.99,33.45,33.98,6966956,14.52,14.73,14.49,14.69,63438754,23.32,23.59,23.29,23.57,7607137,23.14,23.29,23.1,23.24,7574573,26.45,26.78,26.45,26.72,6474427,31.28,31.36,31.01,31.1,8070507,31.47,31.62,31.27,31.6,4806621,29.9,30.11,29.9,30,4660451,52.75,54.23,52.52,54.15,2660551,41.9,43.15,41.9,43.14,2735116,17.925,18.115,17.925,17.94,15381820
2010-01-05 00:00:00-05:00,13.75,13.84,13.35,13.47,398738,27.42,27.57,27.07,27.12,72011,113.26,113.68,112.85,113.63,96655357,15.24,15.45,14.99,15.43,6143315,34.08,34.15,33.81,34.14,7616537,14.67,14.96,14.65,14.94,77221972,23.56,23.7,23.48,23.65,7847300,23.28,23.3,23.1,23.24,13501390,26.69,26.72,26.54,26.69,11702138,30.99,31.17,30.56,30.74,12764431,31.56,31.67,31.31,31.41,5290245,30.01,30.14,29.82,30.12,4086003,54.21,55.324,54.14,55.05,2992527,43.19,43.699,42.99,43.57,4519046,17.975,18.095,17.845,18.055,13721718
2010-01-06 00:00:00-05:00,13.4,13.57,13.11,13.26,370913,27.16,27.55,27.12,27.47,108118,113.51,113.99,113.43,113.74,95283731,15.46,15.57,15.41,15.53,3341437,34.14,34.83,34.08,34.64,7878664,14.95,15.05,14.84,14.99,50673336,23.6,23.73,23.59,23.7,5761924,23.24,23.25,22.96,22.99,9832190,26.65,26.69,26.54,26.66,9014964,30.69,31,30.69,30.9,12090067,31.3,31.6,31.3,31.57,4586729,30.09,30.215,30.02,30.13,4222824,55.28,57.49,55.28,57.18,4251995,43.46,44.14,43.23,43.93,3309769,18.045,18.25,18.045,18.25,21293038
2010-01-07 00:00:00-05:00,13.23,14,13.19,13.9,409697,27.4,28,27.4,27.99,99601,113.51,114.33,113.18,114.2,106416501,15.83,16.28,15.77,16.18,13457076,34.54,34.58,34.16,34.49,5668076,15.02,15.4,14.99,15.31,90936153,23.67,24.01,23.59,23.96,13239811,22.99,23,22.81,22.89,7178327,26.74,26.74,26.51,26.66,6571043,30.85,30.87,30.6366,30.75,6442850,31.5,31.72,31.43,31.7,5969909,30.34,30.41,30.135,30.39,4706852,57.01,57.25,55.95,56.83,3456725,43.86,43.86,43.14,43.73,2164403,18.385,18.41,18.108,18.315,22522790
2010-01-08 00:00:00-05:00,13.8,14.75,13.8,14.25,442702,27.96,27.98,27.57,27.67,144271,113.88,114.61,113.66,114.57,95322019,16.17,16.3,16.06,16.25,5126851,34.36,34.89,34.28,34.87,4522208,15.23,15.31,15.1,15.22,78597872,23.9,24.37,23.9,24.34,9313927,22.86,23.06,22.7801,23.04,11777994,26.6,26.6,26.42,26.55,5387219,30.71,30.79,30.52,30.71,6220244,31.79,31.81,31.56,31.78,3802483,30.29,30.41,30.12,30.38,6430180,56.74,58.91,56.66,58.76,3688988,43.57,44.08,43.19,44.06,2097216,18.175,18.305,18.115,18.295,16481010
2010-01-11 00:00:00-05:00,14.36,14.5,14.21,14.36,137820,27.46,27.46,26.66,26.98,133891,115.07,115.13,114.235,114.73,89164666,16.32,16.359,16.04,16.16,2400110,35.36,35.38,34.575,34.78,7756634,15.36,15.38,15.14,15.23,56234458,24.47,24.63,24.38,24.61,10864865,23.14,23.15,22.84,22.96,10342432,26.57,26.68,26.38,26.6491,5975717,30.8,31.1,30.75,31.06,8147702,31.94,32,31.8199,31.92,4076247,30.45,30.54,30.17,30.34,4136650,60.22,60.48,57.62,57.98,4655750,44.5,44.62,43.1601,43.57,2231281,18.305,18.35,18.1,18.235,14546172
2010-01-12 00:00:00-05:00,14.28,15.0681,14.28,14.65,264714,26.85,27.03,26.73,27,71131,113.96,114.21,113.22,113.66,136421030,16.01,16.09,15.77,15.91,4827547,34.23,34.41,33.73,34.11,12270187,15.11,15.18,14.91,15,104521505,24.44,24.52,24.27,24.41,10795568,22.82,22.85,22.61,22.7,9674000,26.54,26.77,26.54,26.77,5769487,30.95,31.16,30.79,30.92,7110443,31.82,31.91,31.61,31.73,5621502,30.15,30.22,29.815,29.96,5435201,56.92,57.47,55.79,56.53,3693677,43,43.03,42.37,42.57,2553386,18.12,18.205,17.968,18.095,24609688
2010-01-13 00:00:00-05:00,14.66,15.12,14.54,15.09,165043,27.06,27.48,26.92,27.44,59086,113.95,114.94,113.37,114.64,142997302,15.88,16.1,15.75,16.03,4712950,34.16,34.49,33.75,34.46,11809776,15.01,15.23,14.89,15.17,75439508,24.37,24.56,24.28,24.51,8375913,22.8,22.95,22.6,22.9,8905005,26.8,27.04,26.79,26.96,7256143,30.99,31.25,30.86,31.21,7340935,31.81,32.25,31.8,32.16,5323418,30.06,30.33,29.96,30.26,4455683,56.99,57.2299,55.2501,57.15,3782259,42.62,43.035,41.76,42.98,2963701,18.12,18.335,18.02,18.285,15031176
2010-01-14 00:00:00-05:00,15.02,15.2099,14.86,15.05,209991,27.29,27.61,27.1001,27.39,41118,114.49,115.14,114.42,114.92,99218631,15.96,16.08,15.91,15.95,4742750,34.45,34.52,34,34.1,9137070,15.13,15.3,15.09,15.26,50472962,24.49,24.54,24.42,24.51,5667713,22.86,23.058,22.86,22.98,7251274,26.94,27,26.87,26.94,4931575,31.21,31.29,30.97,31.12,4443160,32.21,32.45,32.09,32.43,6865626,30.19,30.32,30.13,30.27,5556981,57.05,57.47,56.15,56.61,2680526,43.13,43.53,42.89,43.41,3341112,18.2,18.265,18.025,18.09,22946210
